Accra Metropolis;5.6037, -0.1870
Tema Metropoli;5.6879, -0.0373
Tema West;5.6683, -0.0379
Kpone Katamanso;5.6995, -0.0583
Krowor;5.56, -0.4
Ledzokuku;5.5833, -0.1000
Adentan;5.7142, -0.1542
Ashiaman; 5.6931, -0.0327
La-Nkwantanang-Madina; 5.6784, -0.1713
La-Dade-Kotopon; 5.5752, -0.1468
Okaikwei North; 5.587938, -0.238539
Ablekuma North; 5.5820, -0.2557
Ablekuma West; 5.5512, -0.2526
Ablekuma Central; 5.5112, -0.2848
Ayawaso East; 5.6142, -0.1963
Ga North; 5.6553, -0.2784
Ga West; 5.6667, -0.3560
Weija; 5.5666, -0.3335
Gbawe; 5.5774, -0.3137
Awutu Senya East; 5.5195, -0.4880
Kumasi Metropolis; 6.7252, -1.6566
Suame; 6.7226, -1.6445
Old Tafo; 6.2335, -0.3972
Oforikrom; 5.8118, -1.8974
Asokore Mampong; 6.7175, -1.5620
Kwadaso; 6.6905, -1.6494
Atwima Nwabiagya; 6.5972, -1.5790
Kwabre East; 6.8540, -1.5790
Ejisu; 6.7151, -1.5091
Bosomtwe;6.540490, -1.476450